ID,M�rka,T�pus,�zemanyag,Teljes�tm�ny_LE,V�tel�r_EUR,Gy�rt�si_�v,�tlagos_CO2_g_km
369,Volvo,XC60,Diesel,190,49500,2024,142
370,Volvo,XC60,Diesel,190,50800,2025,140
371,Honda,Civic,Benzin,142,19000,2016,128
372,Honda,Civic,Benzin,142,19700,2017,126
373,Honda,Civic,Benzin,142,20400,2018,124
374,Honda,Civic,Benzin,142,21900,2019,122
375,Honda,Civic,Benzin,142,22600,2020,120
376,Honda,Civic,Benzin,142,23300,2021,118
377,Honda,Civic,Benzin,142,24000,2022,116
378,Honda,Civic,Benzin,142,24700,2023,114
379,Honda,Civic,Benzin,142,25400,2024,112
380,Honda,Civic,Benzin,142,26100,2025,110
381,Honda,CR-V,Hybrid,184,28500,2016,129
382,Honda,CR-V,Hybrid,184,29500,2017,127
383,Honda,CR-V,Hybrid,184,30500,2018,125
384,Honda,CR-V,Hybrid,184,32200,2019,123
385,Honda,CR-V,Hybrid,184,33200,2020,121
386,Honda,CR-V,Hybrid,184,34200,2021,119
387,Honda,CR-V,Hybrid,184,35200,2022,117
388,Honda,CR-V,Hybrid,184,36200,2023,115
389,Honda,CR-V,Hybrid,184,37200,2024,113
390,Honda,CR-V,Hybrid,184,38200,2025,111
391,Nissan,Qashqai,Benzin,140,19500,2016,135
392,Nissan,Qashqai,Benzin,140,20200,2017,133
393,Nissan,Qashqai,Benzin,140,20900,2018,131
394,Nissan,Qashqai,Benzin,140,22400,2019,129
395,Nissan,Qashqai,Benzin,140,23100,2020,127
396,Nissan,Qashqai,Benzin,140,23800,2021,125
397,Nissan,Qashqai,Benzin,140,24500,2022,123
398,Nissan,Qashqai,Benzin,140,25200,2023,121
399,Nissan,Qashqai,Benzin,140,25900,2024,119
400,Nissan,Qashqai,Benzin,140,26600,2025,117
401,Nissan,X-Trail,Hybrid,213,27000,2016,146
402,Nissan,X-Trail,Hybrid,213,28000,2017,144
403,Nissan,X-Trail,Hybrid,213,29000,2018,142
404,Nissan,X-Trail,Hybrid,213,30700,2019,140
405,Nissan,X-Trail,Hybrid,213,31700,2020,138
406,Nissan,X-Trail,Hybrid,213,32700,2021,136
407,Nissan,X-Trail,Hybrid,213,33700,2022,134
408,Nissan,X-Trail,Hybrid,213,34700,2023,132
409,Nissan,X-Trail,Hybrid,213,35700,2024,130
410,Nissan,X-Trail,Hybrid,213,36700,2025,128
411,Mazda,3,Benzin,122,18000,2016,125
412,Mazda,3,Benzin,122,18700,2017,123
413,Mazda,3,Benzin,122,19400,2018,121
414,Mazda,3,Benzin,122,20900,2019,119
415,Mazda,3,Benzin,122,21600,2020,117
416,Mazda,3,Benzin,122,22300,2021,115
417,Mazda,3,Benzin,122,23000,2022,113
418,Mazda,3,Benzin,122,23700,2023,111
419,Mazda,3,Benzin,122,24400,2024,109
420,Mazda,3,Benzin,122,25100,2025,107
421,Mazda,CX-5,Benzin,165,25500,2016,148
422,Mazda,CX-5,Benzin,165,26500,2017,146
423,Mazda,CX-5,Benzin,165,27500,2018,144
424,Mazda,CX-5,Benzin,165,29200,2019,142
425,Mazda,CX-5,Benzin,165,30200,2020,140
426,Mazda,CX-5,Benzin,165,31200,2021,138
427,Mazda,CX-5,Benzin,165,32200,2022,136
428,Mazda,CX-5,Benzin,165,33200,2023,134
429,Mazda,CX-5,Benzin,165,34200,2024,132
430,Mazda,CX-5,Benzin,165,35200,2025,130
431,Seat,Leon,Benzin,150,17500,2016,127
432,Seat,Leon,Benzin,150,18200,2017,125
433,Seat,Leon,Benzin,150,18900,2018,123
434,Seat,Leon,Benzin,150,20400,2019,121
435,Seat,Leon,Benzin,150,21100,2020,119
436,Seat,Leon,Benzin,150,21800,2021,117
437,Seat,Leon,Benzin,150,22500,2022,115
438,Seat,Leon,Benzin,150,23200,2023,113
439,Seat,Leon,Benzin,150,23900,2024,111
440,Seat,Leon,Benzin,150,24600,2025,109
441,Seat,Ateca,Diesel,150,23500,2016,143
442,Seat,Ateca,Diesel,150,24500,2017,141
443,Seat,Ateca,Diesel,150,25500,2018,139
444,Seat,Ateca,Diesel,150,27200,2019,137
445,Seat,Ateca,Diesel,150,28200,2020,135
446,Seat,Ateca,Diesel,150,29200,2021,133
447,Seat,Ateca,Diesel,150,30200,2022,131
448,Seat,Ateca,Diesel,150,31200,2023,129
449,Seat,Ateca,Diesel,150,32200,2024,127
450,Seat,Ateca,Diesel,150,33200,2025,125
451,Dacia,Duster,Benzin,130,12500,2016,145
452,Dacia,Duster,Benzin,130,13100,2017,143
453,Dacia,Duster,Benzin,130,13700,2018,141
454,Dacia,Duster,Benzin,130,14900,2019,139
455,Dacia,Duster,Benzin,130,15500,2020,137
456,Dacia,Duster,Benzin,130,16100,2021,135
457,Dacia,Duster,Benzin,130,16700,2022,133
458,Dacia,Duster,Benzin,130,17300,2023,131
459,Dacia,Duster,Benzin,130,17900,2024,129
460,Dacia,Duster,Benzin,130,18500,2025,127
461,Dacia,Sandero,Benzin,90,10500,2016,118
462,Dacia,Sandero,Benzin,90,11000,2017,116
463,Dacia,Sandero,Benzin,90,11500,2018,114
464,Dacia,Sandero,Benzin,90,12500,2019,112
465,Dacia,Sandero,Benzin,90,13000,2020,110
466,Dacia,Sandero,Benzin,90,13500,2021,108
467,Dacia,Sandero,Benzin,90,14000,2022,106
468,Dacia,Sandero,Benzin,90,14500,2023,104
469,Dacia,Sandero,Benzin,90,15000,2024,102
470,Dacia,Sandero,Benzin,90,15500,2025,100
471,Tesla,Model 3,Elektromos,283,36500,2016,0
472,Tesla,Model 3,Elektromos,283,37800,2017,0
473,Tesla,Model 3,Elektromos,283,39100,2018,0
474,Tesla,Model 3,Elektromos,283,40800,2019,0
475,Tesla,Model 3,Elektromos,283,42100,2020,0
476,Tesla,Model 3,Elektromos,283,43400,2021,0
477,Tesla,Model 3,Elektromos,283,44700,2022,0
478,Tesla,Model 3,Elektromos,283,46000,2023,0
479,Tesla,Model 3,Elektromos,283,47300,2024,0
480,Tesla,Model 3,Elektromos,283,48600,2025,0
481,Tesla,Model Y,Elektromos,299,42500,2016,0
482,Tesla,Model Y,Elektromos,299,43900,2017,0
483,Tesla,Model Y,Elektromos,299,45300,2018,0
484,Tesla,Model Y,Elektromos,299,47200,2019,0
485,Tesla,Model Y,Elektromos,299,48600,2020,0
486,Tesla,Model Y,Elektromos,299,50000,2021,0
487,Tesla,Model Y,Elektromos,299,51400,2022,0
488,Tesla,Model Y,Elektromos,299,52800,2023,0
489,Tesla,Model Y,Elektromos,299,54200,2024,0
490,Tesla,Model Y,Elektromos,299,55600,2025,0
491,Fiat,500,Benzin,69,11500,2016,119
492,Fiat,500,Benzin,69,12000,2017,117
493,Fiat,500,Benzin,69,12500,2018,115
494,Fiat,500,Benzin,69,13500,2019,113
495,Fiat,500,Benzin,69,14000,2020,111
496,Fiat,500,Benzin,69,14500,2021,109
497,Fiat,500,Benzin,69,15000,2022,107
498,Fiat,500,Benzin,69,15500,2023,105
499,Fiat,500,Benzin,69,16000,2024,103
500,Fiat,500,Benzin,69,16500,2025,101
